Sample_ID,Species,Sex,Age_Months,Age_Group,Swab_type,Body_region,Health_status,Prior_Antibiotics_Use,MSA_agar_char,PCR_nuc,PCR_mecA,S_aureus_Confirmed,Archived_MRSA_Status,Cefoxitin_FOX,Nitrofurantoin_F,TMP_SXT,Tetracycline_TE,Chloramphenicol_C,Gentamicin_CN,Ciprofloxacin_CIP,Azithromycin_AZM,Clindamycin_DA,Erythromycin_E,Enrofloxacin_ENR,Genotype_phenotype_group,Cefoxitin_zone_diameter_mm,Nitrofurantoin_zone_diameter_mm,TMP_zone_diameter_mm,Tetracycline_zone_diameter_mm,Chloramphenicol_zone_diameter_mm,Gentamicin_zone_diameter_mm,Ciprofloxacin_zone_diameter_mm,Azithromycin_zone_diameter_mm,Clindamycin_zone_diameter_mm,Erythromycin_zone_diameter_mm,Enrofloxacin_zone_diameter_mm,Class_Beta_lactam_R,Class_Nitrofuran_R,Class_Folate_pathway_inhibitor_R,Class_Tetracycline_R,Class_Phenicol_R,Class_Aminoglycoside_R,Class_Fluoroquinolone_R,Class_Macrolide_R,Class_Lincosamide_R,Resistance_class_count,MDR_ge_3_classes,OS_MRSA,Analysis_inclusion_species_comparison,Analysis_inclusion_prior_antibiotic_comparison,Zone_diameter_availability_note
4_a,Cat,Male,192,>6 yr,Wound Swab,Head region,Sick,No,Yellow Colony,Yes,Yes,Yes,MRSA,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Resistant,Susceptible,mecA-positive / cefoxitin-resistant,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,TRUE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
3_a,Dog,Male,36,3-6 yr,Wound Swab,Abdominal region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
1_a,Cat,Male,48,3-6 yr,Wound Swab,Leg region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
2_a,Cat,Male,30,1-3 yr,Wound Swab,Leg region,Apparently Healthy,No,Yellow Colony,Yes,No,Yes,MSSA,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Resistant,Susceptible,mecA-negative / cefoxitin-susceptible S. aureus,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
6_a,Cat,Female,24,1-3 yr,Wound Swab,Abdominal region,Sick,No,Pink Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
7_a,Cat,Male,60,3-6 yr,Wound Swab,Head region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
8_a,Cat,Male,48,3-6 yr,Wound Swab,Leg region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
9_a,Cat,Female,36,3-6 yr,Wound Swab,Leg region,Sick,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
15_a,Cat,Female,18,1-3 yr,Abscess Fluid,Abdominal region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
5_a,Dog,Male,42,3-6 yr,Wound Swab,Leg region,Apparently Healthy,Yes,Yellow Colony,Yes,Yes,Yes,MRSA,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,Resistant,Susceptible,mecA-positive / cefoxitin-resistant,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
30_a,Cat,Male,24,1-3 yr,Wound Swab,Head region,Sick,Yes,Yellow Colony,Yes,Yes,Yes,MRSA,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Resistant,Resistant,mecA-positive / cefoxitin-resistant,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,TRUE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
74_a,Horse,Male,120,>6 yr,Wound Swab,Thorax region,Apparently Healthy,Yes,Yellow Colony,Yes,No,Yes,MSSA,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Intermediate,Resistant,Susceptible,Resistant,Susceptible,mecA-negative / cefoxitin-susceptible S. aureus,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
36_a,Dog,Female,18,1-3 yr,Wound Swab,Leg region,Apparently Healthy,Yes,Yellow Colony,Yes,Yes,Yes,MRSA,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Resistant,Susceptible,Resistant,Resistant,mecA-positive / cefoxitin-resistant,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,TRUE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
63_a,Dog,Male,16,1-3 yr,Wound Swab,Leg region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
